--------- beginning of main
06-01 10:09:38.533 D/GeospatialService( 5183): ARCore availability: SUPPORTED_INSTALLED, ok=true
06-01 10:09:38.533 D/LocationFusionService( 5183): Enabling ARCore Geospatial (VPS)
06-01 10:09:38.533 D/GeospatialService( 5183): 데이터셋 파일 없음
06-01 10:09:38.533 D/LocationFusionService( 5183): ARCore Live 모드 (session.mp4 없음)
06-01 10:09:38.535 D/YoloObjectDetector( 5183): Loaded 6 labels
06-01 10:09:38.537 W/YoloObjectDetector( 5183): GPU delegate not available, using CPU: Failed resolution of: Lorg/tensorflow/lite/gpu/GpuDelegateFactory$Options;
06-01 10:09:38.541 D/GeospatialService( 5183): ARCore availability: SUPPORTED_INSTALLED, ok=true
06-01 10:09:38.548 D/GeospatialService( 5183): EGL headless context 설정 완료
06-01 10:09:38.603 D/YoloObjectDetector( 5183): SmartWalker detector initialized: 640x640
06-01 10:09:38.604 D/ObstacleAlertService( 5183): 파이프라인 시작: http://100.122.72.41:8081/stream
06-01 10:09:38.606 D/TextToSpeechService( 5183): Speaking: 시흥시청소년수련관(1층, 로비)까지 150미터, 약 1분 경로를 안내합니다. 왼쪽 전방으로 출발하세요. (priority: HIGH)
06-01 10:09:38.606 D/NavigationViewModel( 5183): Navigation started to 시흥시청소년수련관(1층, 로비)
06-01 10:09:38.876 I/GeospatialService( 5183): ARCore 세션 시작 (mode=LIVE)
06-01 10:09:38.982 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:39.092 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:39.193 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:39.297 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:39.378 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:39.424 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:39.459 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:39.495 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:39.536 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:39.575 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:39.618 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:39.656 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:39.703 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:39.738 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:39.773 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:39.808 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:39.843 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:39.882 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:39.917 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:39.953 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:39.989 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:40.032 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:40.071 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:40.106 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:40.142 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:40.179 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:40.217 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:40.251 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:40.286 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:40.321 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:40.356 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:40.398 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:40.434 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:40.470 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:40.508 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:40.543 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:40.578 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:40.615 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:40.654 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:40.690 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:40.733 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:40.768 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:40.804 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:40.844 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:40.844 D/MjpegCameraSource( 5183): MJPEG 스트림 연결: http://10.82.31.112:81/stream
06-01 10:09:40.878 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:40.913 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:40.953 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:40.989 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:41.027 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:41.062 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:41.096 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:41.132 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:41.167 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:41.203 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:41.237 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:41.273 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:41.311 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:41.348 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:41.386 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:41.429 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:41.465 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:41.505 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:41.540 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:41.575 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:41.615 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:41.650 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:41.685 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:41.724 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:41.759 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:41.796 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:41.831 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:41.866 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:41.901 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:41.936 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:41.971 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:42.006 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:42.041 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:42.075 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:42.111 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:42.146 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:42.183 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:42.220 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:42.256 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:42.300 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:42.336 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:42.372 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:42.408 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:42.443 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:42.477 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:42.512 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:42.547 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:42.582 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:42.621 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:42.656 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:42.691 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:42.729 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:42.742 D/NavigationViewModel( 5183): Handling route deviation
06-01 10:09:42.747 D/TextToSpeechService( 5183): Speaking: 경로를 재탐색합니다. 잠시만 기다려주세요. (priority: HIGH)
06-01 10:09:42.769 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:42.816 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:42.894 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:42.933 D/TextToSpeechService( 5183): Speaking: 새로운 경로입니다. 왼쪽으로 돌아서 36미터 직진하세요 (priority: HIGH)
06-01 10:09:42.933 D/NavigationViewModel( 5183): Reroute successful
06-01 10:09:42.960 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:43.005 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:43.048 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:43.085 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:43.128 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:43.206 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:43.251 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:43.301 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:43.338 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:43.373 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:43.408 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:43.442 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:43.477 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:43.513 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:43.548 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:43.583 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:43.618 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:43.653 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:43.688 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:43.724 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:43.762 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:43.797 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:43.833 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:43.870 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:43.909 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:43.943 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:43.978 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:44.013 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:44.051 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:44.086 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:44.125 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:44.161 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:44.197 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:44.234 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:44.269 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:44.308 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:44.345 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:44.380 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:44.415 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:44.453 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:44.488 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:44.523 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:44.559 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:44.600 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:44.635 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:44.669 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:44.704 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:44.740 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:44.778 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:44.815 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:44.849 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:44.884 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:44.919 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:44.954 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:44.988 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:45.025 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:45.059 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:45.095 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:45.130 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:45.165 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:45.201 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:45.238 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:45.273 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:45.307 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:45.344 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:45.381 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:45.417 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:45.456 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:45.492 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:45.528 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:45.564 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:45.600 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:45.635 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:45.674 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:45.709 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:45.748 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:45.785 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:45.820 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:45.859 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:45.893 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:45.928 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:45.967 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:46.002 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:46.037 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:46.072 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:46.108 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:46.144 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:46.180 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:46.214 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:46.249 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:46.291 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:46.327 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:46.362 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:46.397 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:46.433 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:46.468 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:46.504 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:46.539 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:46.575 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:46.612 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:46.648 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:46.683 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:46.718 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:46.758 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:46.794 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:46.829 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:46.863 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:46.900 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:46.936 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:46.973 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:47.008 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:47.043 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:47.078 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:47.114 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:47.155 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:47.196 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:47.230 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:47.267 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:47.307 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:47.347 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:47.389 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:47.432 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:47.476 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:47.518 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:47.555 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:47.594 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:47.630 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:47.633 D/YoloObjectDetector( 5183): Detection completed in 487ms, found 0 objects
06-01 10:09:47.671 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:47.705 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:47.740 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:47.776 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:47.811 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:47.846 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:47.881 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:47.916 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:47.951 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:47.988 V/GeospatialService( 5183): Camera 상태: PAUSED
